"","Mix_A_REP_1","Mix_A_REP_2","Mix_A_REP_3","Mix_A_REP_4","Mix_A_REP_5","Mix_B_REP_1","Mix_B_REP_2","Mix_B_REP_3","Mix_B_REP_4","Mix_B_REP_5","Mix_C_REP_1","Mix_C_REP_2","Mix_C_REP_3","Mix_C_REP_4","Mix_C_REP_5"
"AAC1",26.8042285408996,24.852652419397,24.5709141406193,25.7556547483964,25.7895831191583,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"AAH1",25.0045286263147,25.3802911873204,24.2892954461326,26.1008325247525,25.3296830662942,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"AAP1",27.1225351423352,27.3842027541926,27.4217724683448,27.1242385659451,27.4236001720913,25.4403251821814,25.4447153073585,25.3925766182969,25.4587037608309,25.4922946801896,24.4396242661433,24.4057960784251,24.3026092929015,24.4287208468737,24.4827720819736
"AAT1",21.8291874348511,22.2356524342342,22.044686772876,22.3597065373176,21.5437994424606,20.5004181318399,0.1,20.4072175758454,20.563204885646,0.1,0.1,0.1,0.1,0.1,0.1
"AAT2",28.6557961230968,28.6845324820143,28.8504980051092,28.8790798858019,28.7578721748941,26.6570464753951,26.7314786738891,26.6159202204558,26.7500072945664,26.6523252037865,25.7128144628358,25.6312836784049,25.5180618287258,25.6497645979982,25.6722591769287
"ABD1",23.5461184715236,24.240180857343,23.9983012735569,24.3596091611997,24.175622718662,22.5634091485256,22.6708650812937,22.3055790444046,22.3543806850524,22.1695170773661,21.4601708920533,21.3697891512512,21.3777332050247,20.9678183321821,21.4019597910032
"ABF1",27.6858618860656,28.2461583796301,28.1216702620767,27.9587830618386,28.0953728808797,25.7039416087418,25.500551766813,25.4061054938644,25.6948757358519,25.5519571234565,24.6198427727868,24.5819886668539,24.1490356044571,24.0926277134448,24.0154956184424
"ABF2",26.7858655072619,27.2021848276193,27.4884678188067,27.2487085105729,27.5351854273539,25.2332952478651,25.3467189438032,25.2437828665346,25.2971904606009,25.3562398768042,24.3160114017025,24.1457170825634,24.2874667200804,24.324985113033,24.3015795728149
"ABP1",28.5647470279731,28.9025562768598,29.3253102614807,29.00498541112,29.3271903755678,26.6510646283233,26.8290145521944,26.7288876073563,26.8219717883655,26.8810212453688,25.7877558515093,25.7888050661159,25.746576465801,25.7945907016854,25.8585734663664
"ABP140",25.0927129917309,25.6755153172443,25.681487674173,25.6746570693158,25.7212114702619,23.6489704909759,23.8412157321144,23.487041798204,23.5350232938589,23.6404199323955,22.3551529251922,22.4689393166285,22.339884789672,22.3544053030546,22.4825810015788
"ABZ1",26.2342436982489,26.6023684789333,26.7538445409542,26.9562774297713,26.9279792927493,24.848939168807,24.6947108616263,24.9576837170235,24.7816348095051,24.9434139710037,23.1122411106092,23.4645840129843,23.7762448613485,23.64899769121,22.8599924297864
"ABZ2",24.0089716404075,23.911015029781,24.4437417805149,24.0754790678799,23.8512637036666,21.9743334472715,22.2352295140528,21.597514297804,21.7689644921715,21.9748228591908,20.5919165148513,0.1,0.1,21.0393074843698,0.1
"ACB1",28.9110079900302,28.638371725271,29.2984772575952,29.8264872950206,29.2948051222293,27.4651408954219,27.5514356888594,27.4962999979074,27.4347267216216,27.5575467950135,26.4509602744604,26.5650207195314,26.4096368382307,26.4455400647211,26.568904082104
"ACC1",27.9252260916099,28.0859097154304,28.3112327826471,28.3081983338752,28.3303601408446,26.2945916013719,26.360626778902,26.2802671435782,26.3598049287732,26.3317652017345,25.344280498188,25.3361071919479,25.2658634177882,25.3416198370822,25.3678030813713
"ACE2",21.0029744672316,19.7243233667099,19.8629519004101,21.1185235423663,19.7989390454575,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"ACF2",25.408178406321,25.5043804331642,26.0221718982579,25.8386103754933,25.8620625912245,22.791070855102,23.0090030032382,22.5979880764632,23.0075312067029,23.2461953509515,22.3259736407292,21.5963936109533,21.0243224972053,0.1,0.1
"ACH1",25.0861924836166,25.149167862555,25.419706434677,25.5276074422463,25.512932742838,23.9821658628284,23.6827433583422,23.6264757218869,23.8260012392703,23.7634653637642,22.7039329248518,22.5856074061545,22.1345826800873,22.3572410936011,22.2744718576271
"ACK1",18.4318774473624,20.2932915982162,18.2870167877936,20.3529945386572,18.6028602431842,16.5856941586678,16.4653397104604,16.3573401735566,16.379848710974,0.1,0.1,15.5619258103696,0.1,0.1,0.1
"ACL4",23.4957486738505,24.1215127285944,24.1457110196001,24.3645580992239,24.5900790160735,22.3620743784532,22.3251825982142,22.5010517624087,22.3339566340961,22.3511111012788,21.2307598798321,21.1097664244106,20.7456080631844,20.8756383761473,0.1
"ACO1",29.9309858747846,30.2333136466006,30.3151708512295,30.7822935967251,30.4166473053321,28.8148497875484,28.8449706266729,28.811994134468,28.8856905121006,28.8745108025861,27.8630373865722,27.9069647124944,27.8578179760168,27.9279738635065,27.9624495782225
"ACO2",22.7099119451856,22.8642137324744,23.097908993367,23.0902074191216,23.1899296482318,23.1404700180388,23.3858950425279,23.2148174207696,23.2991684629273,23.2591610918643,23.1672424843215,0.1,0.1,23.0819929056587,0.1
"ACP1",25.3251561380039,25.7228010963582,26.0310375136806,26.2692418633461,26.370804071795,24.4463612585536,24.4973043420351,24.5483001257515,24.7047109944868,24.7613052556794,24.5958058006725,24.5105911253123,24.3686310787611,24.4669584859401,24.4623408187807
"ACS1",26.0603648006772,26.7337796905692,26.0063737011312,26.8162141683021,26.7398817537505,23.7848139397473,24.0762854567724,23.7856709679931,23.8882548690386,23.9047241898208,22.9669513352986,22.5934717094962,22.7298780406855,22.8739597717499,22.8355585498861
"ACS2",28.0739325056111,28.5174166167213,28.576882994127,28.8171440104699,28.6048148293007,26.3002060678615,26.3704231008591,26.319613433567,26.4213825146666,26.4443010217412,25.3498083494443,25.3284908968292,25.2996791411593,25.4700641777889,25.3958819014513
"ACT1",30.2458999538174,30.7173033440535,30.9680395504454,31.1201919904666,31.066786235215,29.0467120442847,29.0728972116395,29.1734029600792,29.2242007438986,29.2573960461294,28.3048959184507,28.2548766676456,28.2328942875838,28.3069672782515,28.4510173814986
"ADA2",24.8114871468311,23.2594207419361,23.6185675385669,23.3294843143221,23.4018589122814,21.5645364385844,21.3003277007788,0.1,21.0763543754234,21.0801475677752,0.1,21.1357679883216,0.1,20.5562377715095,0.1
"ADD37",23.6091338642858,23.9347785986834,24.1933720266622,24.2492113446872,24.3306940568501,21.2599786805951,21.327668310291,21.6326308424977,21.0060707517423,21.504067566079,19.7267193730549,19.7619786625122,19.0660484479626,19.3088907274482,0.1
"ADD66",26.9858076459011,26.9025509494713,26.6694897901811,27.20584142354,26.86260880557,25.0824635766595,25.2199373573395,25.1844992062377,25.1129509232904,25.0810783764571,24.065978706626,23.9122539023908,24.0659635914513,24.0672993584776,24.0686475011905
"ADE1",27.8669081877286,28.3523244783354,28.5687474299003,28.6437804638262,28.2713917885939,26.3191095230308,26.402010699538,26.4427772600977,26.489359609721,26.3960728413242,25.460761869455,25.4683507478893,25.3671479949047,25.3985485551246,25.5154408523979
"ADE12",27.4836293321805,28.6238953322617,28.7460645478367,28.5790803025559,28.1180065356003,26.5278133332262,26.3431677009802,26.5016790565736,26.460901305821,26.5558493069691,25.4434181373224,25.4587823474966,25.4439426575921,25.5115174490273,25.5331288017292
"ADE13",28.4987031543721,28.5613090445843,29.1067926267125,29.0439552805813,29.1802005557448,26.399431809001,26.5479383975424,26.5140731648743,26.6534524937449,26.651415269735,25.6049328001921,25.5082416502354,25.5480448685294,25.6421332710978,25.6597458823996
"ADE16",26.9648100772202,27.2389858826193,27.134041938594,27.2975789266347,27.4054047034642,25.5072215936076,25.3460579996313,25.4248152449167,25.5514427518918,25.421330647725,24.5314289975971,24.5292436483299,24.3413201680827,24.5585226036889,24.5449653168765
"ADE17",28.7717712416559,29.2385623283298,29.7083627814011,29.8232710191883,29.41127809713,27.3975242411341,27.5580523368837,27.460434780738,27.5235550243918,27.4463441639902,26.6464316069091,26.4890904294107,26.4597709317717,26.4769210831613,26.634251833345
"ADE2",27.0174847021999,27.519626902955,27.5686739186994,27.9050375025484,27.8989755212439,25.8070441650792,25.9058533049959,25.7562969438044,25.84414660902,25.9463723359396,24.8931830543635,24.8509183300911,24.7580078906787,24.8508709390533,24.9319084192273
"ADE3",28.7150513146721,29.4650818354203,29.2121889596527,29.5949752466562,29.4729744982503,27.0861519505162,27.2532298942525,27.2065866549638,27.3553985597049,27.2840313599401,26.2568620240198,26.2861907069707,26.2351250614347,26.2595895720323,26.4365547529427
"ADE4",26.8142295300005,27.5454454214585,27.5270953908758,27.3818675519014,27.6477067668982,25.5145822663838,25.6795741919205,25.5463127138423,25.7211838245111,25.6620716121474,24.6231792776811,24.5669163836565,24.5781707090757,24.6248100108125,24.7491292575343
"ADE57",28.5966058568185,28.7732965935118,28.7833978529556,28.9270961451092,29.1128495794234,26.9647667241865,26.9177100663587,27.0705345496937,27.0922908350915,27.0621150089343,26.0859260966065,26.1015492136397,25.9642770726972,26.1243098960479,26.1357910185058
"ADE6",28.1085992747687,28.4092170208456,28.6157336865561,28.8247676697518,28.4319349482503,26.2060516691388,26.2982350482207,26.2310976821526,26.2439922752611,26.317544983655,25.2834877612545,25.279341963145,25.2267923305943,25.2633026236732,25.3408610933307
"ADE8",26.4922194722188,27.1733024626865,27.4157551843853,26.996711827739,26.7513151308214,24.4359293168122,24.4592565609479,24.3527686371002,24.594408384854,24.3754826226481,23.3718840343556,23.4786390426991,23.1206732612037,23.1793932680998,23.1615812401623
"ADH3",28.5047151153681,28.8687264002093,28.6078943242216,29.0072772936279,28.6031656267313,26.7571594630567,27.0048503580099,26.9012063812194,26.9571326147015,26.8227924468589,25.8882315700146,25.9073984970832,25.8208144216198,25.9622110995491,25.9579286059653
"ADH5",25.3707707042774,26.069239981039,26.3558577108891,26.1007717421372,26.6682800599751,24.5214006545878,24.6533837587616,24.4563948384214,24.6078861392607,24.6560240859078,24.3094692067177,24.3531427189463,24.4466828226359,24.482953354181,24.4567351014167
"ADH6",27.7224725767346,27.2871091199157,27.5200570400482,27.3113622428121,27.453802517301,25.7937256634974,25.8719855140638,25.7379973188512,25.7449757911693,25.676722871481,24.6821800582016,24.7320719129831,24.5548327975903,24.6378653211217,24.614497833597
"ADI1",23.8708889097783,24.4158903455917,23.5336351003248,24.0097460259659,23.6145950534136,23.7869712054592,23.7451799613729,23.3586986814695,0.1,23.5785956626279,0.1,23.6656225016191,23.5314712977374,23.6677289871474,0.1
"ADK1",29.3267853690891,29.9500213284326,30.0293836222454,30.1809157564486,29.9331215171789,27.8080962286275,27.9276231849328,27.8954529764966,27.9796620012019,27.8992540250051,26.9615327239217,27.0630095726254,26.9670531400941,27.0723820755037,27.101034249753
"ADO1",28.8852084535076,29.6509002169943,29.3441294085189,29.3583289912425,28.6286228667102,26.7668335941386,26.783775715462,26.8105235002459,26.7258505187654,26.8646559277132,25.8831175035355,25.890991012603,25.8849054523419,25.9242193911858,25.9054702142452
"ADP1",26.7991468271521,27.1640293397572,27.985288756467,27.4133964187757,27.9064079602332,25.2889619743335,25.2141092334259,25.2800429639299,25.4614838500353,25.7006328814144,24.1932646306304,24.3771883509216,23.9974910865782,24.2569523213859,24.2877482351476
"ADR1",27.5400583808083,27.4414882158732,27.6672793095403,27.7002337542153,27.8245636580259,25.2333540608162,25.2944934629699,25.2043938664671,25.3583533050951,25.343297186615,24.1427953594208,24.327932567301,24.2590325427556,24.4901016323995,24.2190381309443
"AFG1",24.0995466230715,23.3248182214423,23.1846633596044,23.6026206042638,23.7678297381816,21.1010699974481,21.4382277581678,21.3914512875151,20.7260425582172,21.530139825192,20.1600120333741,0.1,0.1,19.0874044064321,0.1
"AFG2",24.3886131114395,25.0802242328635,24.6413157105001,25.4516762508949,24.9214454064493,22.9799401756882,22.8465076856801,23.3271478763926,23.1516878320009,23.024674028841,21.9145469072536,22.0641153075532,21.6575862431381,22.1023433884033,22.1374616531843
"AFG3",23.5918950631821,23.8356614728332,24.0259211143545,23.180618973583,24.1731783760542,21.1433059787869,21.5032599396426,0.1,21.5060861095684,20.9000215628861,0.1,0.1,0.1,0.1,0.1
"AGE2",24.9093620466432,25.3850433806566,25.465269110317,24.6732458233163,24.7120803060828,22.6085912085871,22.9009949243297,22.6732761825832,22.8799055215179,22.7980833372398,21.723084904175,0.1,21.6789257827112,21.4089042200306,21.7186164868141
"AGP1",26.3776361942166,25.8734400054612,26.1477258818867,25.7389532981839,26.2560665729526,24.5503400895334,24.628245886515,24.7062885387522,24.6945547622665,24.6238289796375,24.105860325157,23.9858122376344,24.0351591125754,23.9194931304714,24.0254054777454
"AHA1",26.9942822248417,27.2804227635713,26.5754253506037,27.5353074253014,26.8637100890015,25.1201000917987,25.1529967292204,25.0340901924378,25.1372249553196,24.9471129259968,24.1278085197973,24.1639294753004,23.9887586130425,24.1254646314124,24.1227337767044
"AHP1",32.9621926283781,33.3625830354835,33.5787386871149,33.8034540988377,33.3742069113224,30.559875575834,30.5061544082593,30.4357215046477,30.5269784191139,30.5150153249989,29.7667824381117,29.7885670049098,29.7807431975564,29.8652765969934,29.8553206661036
"AIF1",23.8213581656814,22.7822627962674,23.1031328230811,23.0165595700391,23.3359158635115,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
