"","Mix_A_REP_1","Mix_A_REP_2","Mix_A_REP_3","Mix_A_REP_4","Mix_A_REP_5","Mix_B_REP_1","Mix_B_REP_2","Mix_B_REP_3","Mix_B_REP_4","Mix_B_REP_5","Mix_C_REP_1","Mix_C_REP_2","Mix_C_REP_3","Mix_C_REP_4","Mix_C_REP_5"
"A2M",4.80702194889747,4.82864146892282,4.85486799815125,4.85438209408982,4.80021484480578,4.81313799607779,4.81893161096756,4.81533359056476,4.82344850634459,4.82372719582153,4.80282348602779,4.80880969099234,4.80622250205335,4.81361680210497,4.82202294687626
"AAAS",4.59740417996397,4.61274450186103,4.64093595020153,4.64885531792236,4.6356795610732,4.66140497071304,4.67433083279818,4.67029845521472,4.67506672157831,4.67128521471164,4.66891069718533,4.66863374659026,4.6678167903499,4.66506161199178,4.6731196713621
"AAC1",4.7972324034143,4.69224040003113,4.67643183163292,4.74177192902965,4.7436002260265,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"AACS",4.5819194636384,4.56352069305954,4.51791128757956,4.61406106177923,4.55044307153951,4.5845744913479,4.58897037828574,4.58671008031506,4.57696485251256,4.57060496225005,4.57565277829767,4.57678026284808,4.56364623238413,4.5807581754336,4.57765595631051
"AAH1",4.70069098190274,4.72138858412369,4.66045493930134,4.7602652660563,4.71861825047424,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"AAMP",4.23979632006538,4.30904673581424,0.1,0.1,0.1,4.30142170142333,4.28472514080355,4.25134085290794,4.24348103838619,4.24067230933728,4.29136132476555,4.24072558248186,4.25948396780257,4.26577980792011,4.2221152975935
"AAP1",4.81365474877213,4.82701631514291,4.82892462313288,4.81374213230129,4.82901739476968,4.72466801514581,4.72490753890443,4.72206029788124,4.72567047911813,4.72750090576561,4.66900545759395,4.66708576588786,4.66121426319915,4.66838698616089,4.67145032112298
"AARS1",4.85834890454966,4.89666369791583,4.87089578572998,4.88490740482551,4.8965322100152,4.86677434537341,4.87295674145061,4.86417269990619,4.87069697324824,4.87208425881009,4.86998212874008,4.86757492108042,4.8665976265562,4.87042210010813,4.87204181000999
"AARS2",4.57013961876687,4.571036418072,0.1,4.61421674442736,4.58317255100885,4.65142816177179,4.61880453348509,4.6258498480546,4.61462662365367,4.63578996695827,4.64289976744747,4.64349846964972,4.62099284063248,4.62603246270894,4.60068129550424
"AARSD1",4.57508900848131,4.59914293066372,4.61102456552905,4.59504435476765,4.61292990888303,4.59879062915565,4.60213423349819,4.60244891074846,4.60760684168843,4.60619492534918,4.5949234434296,4.59782446183916,4.58273219062688,4.59193018444417,4.60017229246296
"AASDHPPT",0.1,4.53090239935633,4.53925638721764,4.43782320345498,4.51797039234621,4.51160187151276,4.48891640171312,4.4987741917364,4.49775415195184,4.49802137225074,4.49013408316886,4.47732710132137,4.46385453361898,4.49939508209962,4.49203150805598
"AAT1",4.5128076051476,4.53826824976049,4.52636225334997,4.54595024496934,4.49465877698402,4.42629281195168,0.1,4.42002538708943,4.43049971309877,0.1,0.1,0.1,0.1,0.1,0.1
"AAT2",4.89024219698846,4.89163948637727,4.89968309550669,4.90106381648742,4.89519946567208,4.78957519270575,4.79345263945125,4.78742829672577,4.79441624558734,4.78932889248768,4.73946008125596,4.73505006575036,4.72890342945294,4.7360508843521,4.73726812320004
"ABCB10",0.1,0.1,0.1,0.1,0.1,4.51559228642341,4.53717078715468,4.54692506914567,4.53133321733703,4.53522899774571,4.50150887261336,4.51430415553552,4.51087847584422,4.5469006748694,4.58399165516515
"ABCB7",0.1,0.1,0.1,0.1,0.1,4.67281266492415,4.64133639591416,4.6392456832614,4.63564315436998,4.65435358880416,4.66630723393614,4.65018686285705,4.64229940494255,4.64793515221376,4.64547447028883
"ABCC1",0.1,0.1,0.1,0.1,0.1,4.45253236998929,4.4597560715764,4.41823853995253,4.45238211384913,4.35810650073888,4.44542363136221,4.43878937272696,4.41305194024922,4.44052693101449,4.38699191501546
"ABCC2",0.1,0.1,0.1,0.1,0.1,4.29054227679698,4.26918076722825,4.27974450475585,4.27188055400214,0.1,4.27422629778845,4.24919678927904,4.28200422905781,4.22594903076633,4.29214750590862
"ABCD1",4.52675750362211,4.54418666371041,4.52605722737178,4.56092146168832,4.55949149386875,4.60898343985658,4.6089903988719,4.5808344821866,4.60481096005661,4.61021196186251,4.61196482676688,4.61802167949408,4.60246055865687,4.60372441979558,4.60060642444433
"ABCD3",4.61386467596081,4.61995320163946,4.66749648297485,4.6436285347062,4.66529325089056,4.60789530676494,4.61611721256574,4.60021484535629,4.62174291771565,4.61329257099428,4.60893696436301,4.61763919709432,4.61332188783783,4.60337804504663,4.62195165146794
"ABCE1",4.80238005870826,4.8296788861843,4.82981044953197,4.81012413462496,4.81825772547463,4.79083375521799,4.79383417642915,4.79274098105919,4.78873168021775,4.78706586504682,4.7900714896604,4.78830180779695,4.78770572150741,4.78912011353423,4.79249310634934
"ABCF1",4.77280395653736,4.77774260760115,4.79644741170515,4.79982752534035,4.79374872409288,4.76905698686391,4.77001644008054,4.76692916592146,4.76930822352035,4.76719313038282,4.77009486018319,4.76909627640362,4.76361784585785,4.76630246130829,4.76659771019908
"ABCF2",4.66869871647975,4.68857377558926,4.68973584003609,4.70220574027866,4.68168350705425,4.70776926364658,4.7055197797301,4.70238966040065,4.70287804960771,4.7040211656695,4.70162882679821,4.70456537237957,4.6967827672326,4.69865331490771,4.70319744147573
"ABCF3",4.60804879640951,4.64520231927361,4.64063257246412,4.65235041181681,4.62057225461274,4.62634133932947,4.62293147235633,4.62124103171742,4.62119091492179,4.61993805517391,4.61552498524495,4.612143995742,4.60640141991909,4.62047922265961,4.61316933492504
"ABD1",4.61742300111289,4.65765034280913,4.64375815667545,4.66446060591894,4.65395555860163,4.55847637793777,4.56504052701339,4.54260345303833,4.54562128293061,4.53415606928648,4.48929699965971,4.48347975307797,4.48399199806944,4.457319694843,4.48555304400435
"ABF1",4.84226796027388,4.87017522725372,4.86402119801019,4.85592907204814,4.86271783040601,4.73898080008432,4.72795049316538,4.72279963611229,4.73849092818694,4.73074629973006,4.67918971687384,4.67705651423944,4.6524311726381,4.64919165334476,4.64475013083524
"ABF2",4.79627927466063,4.8177350276488,4.8323061268808,4.8201130060264,4.83467003285371,4.71332713539747,4.71955140368587,4.71390378471524,4.71683676797626,4.72007265726563,4.66197821749468,4.65224079034849,4.66035061099345,4.66248951584429,4.66115554979634
"ABHD10",4.75781291277533,4.74866481148382,4.75034317175836,4.71387783865389,4.72870707203871,4.76017542345543,4.7530859274088,4.75141755636317,4.75081724579086,4.73590598816082,4.75951458586519,4.75745396766588,4.75483836854426,4.75729309006195,4.75908809634659
"ABHD12",0.1,0.1,0.1,0.1,0.1,4.3189875548675,4.32813627891375,4.34960521473719,4.31735319131753,4.3740665444864,4.33844268602334,4.36534272565483,4.29142205499092,4.37626785471046,4.35850847207544
"ABHD14B",4.67387046745296,4.69286534039938,4.72630482928275,4.72923631892783,4.73712630473789,4.68076305880852,4.68329899057595,4.68190812046411,4.68683931053403,4.68472240663445,4.68012473048241,4.68043389552314,4.67991769850213,4.68251390950445,4.68837867788078
"ABI1",4.60530190046838,4.62771656548178,4.54111840781042,4.55982476212219,4.53901416038113,4.53226956578612,4.53451713926272,4.52903575160285,4.54144019049799,4.5608431766487,4.53674031441506,4.53676870680016,4.52440975975256,4.5261068376134,4.53194180172883
"ABP1",4.88580602756069,4.90219691611039,4.92245050067535,4.90713032328671,4.92253994237164,4.78926312342813,4.79851791746872,4.79331783620017,4.79815276453352,4.80121150109533,4.74350181912436,4.74355832505471,4.74128233474138,4.74386987334901,4.74731077613625
"ABP140",4.70557505116342,4.73744423616956,4.73776720370058,4.73739781869891,4.73991351222472,4.62345548597004,4.63466387584402,4.61394659190729,4.61677073600692,4.62295493814509,4.54566898655487,4.55268073533305,4.54472553451964,4.54562280368389,4.55351908057289
"ABRACL",4.44111768960046,4.44403400744688,4.49126566212038,4.46158812726684,4.48183888661889,4.49019191590667,4.48449339249747,4.47708881200422,4.48234415494931,4.49285060494483,4.49663827535743,4.49625718056179,4.48804673626188,4.48814054605093,4.49714299677975
"ABRAXAS2",0.1,0.1,0.1,0.1,0.1,4.4814276379564,4.48667817889284,4.48574694934628,4.45917243619255,4.47952398587125,4.46813404739,4.47739234692354,4.46506340209637,4.44625683234205,4.45418311066002
"ABZ1",4.76734989862031,4.78672016066639,4.79461572638589,4.80510036364241,4.80363928720222,4.6920331689554,4.68339951271073,4.69808974790648,4.6882718425585,4.69729643550064,4.59169384325213,4.61262284679762,4.63088564110539,4.6234570779887,4.57652168018742
