Protein	logFC	AveExpr	t	P.Value	adj.P.Val	B	status	Comparison	Gene
P54818	-3.03	20.55	-9.08420202160134	1.3361497966706757e-8	8.497912706825498e-6	9.93	Decreased	Actn 15mg vs NaCl	Galc
O09159	-2.26	21.14	-8.13358819834489	7.956403310251708e-8	2.530136252660043e-5	8.24	Decreased	Actn 15mg vs NaCl	Man2b1
P20060	-2.19	22.35	-7.59007469400035	2.3276004950387372e-7	4.189831331657375e-5	7.2	Decreased	Actn 15mg vs NaCl	Hexb
Q8K2I4	-2.3	19.52	-7.461534288368586	3.0177130631676243e-7	4.189831331657375e-5	6.95	Decreased	Actn 15mg vs NaCl	Manba
Q8VC60	-2.78	20.54	-7.418430608225545	3.2938925563344137e-7	4.189831331657375e-5	6.87	Decreased	Actn 15mg vs NaCl	Glb1l
Q99LJ1	-1.94	20.62	-6.836346005640174	1.1013278135888545e-6	1.1674074824041857e-4	5.69	Decreased	Actn 15mg vs NaCl	Fuca1
P24638	-1.95	19.18	-6.455907067274911	2.4836509608399814e-6	2.0831629650853396e-4	4.92	Decreased	Actn 15mg vs NaCl	Acp2
O35405	-2.28	21.81	-6.431150557987623	2.620330773692251e-6	2.0831629650853396e-4	4.84	Decreased	Actn 15mg vs NaCl	Pld3
P23780	-2.84	21.97	-6.213247957243406	4.213040735330399e-6	2.707246875109481e-4	4.38	Decreased	Actn 15mg vs NaCl	Glb1
P07141	2.35	16.62	6.199233774853708	4.3445864853807945e-6	2.707246875109481e-4	4.35	Increased	Actn 15mg vs NaCl	Csf1
P55849	2.99	19.25	6.165154571264065	4.682345224245957e-6	2.707246875109481e-4	4.28	Increased	Actn 15mg vs NaCl	Dsc1
Q9R097	1.57	16.91	5.700147561715718	1.3187814051090165e-5	6.989541447077787e-4	3.3	Increased	Actn 15mg vs NaCl	Spint1
O35657	-2.12	21.78	-5.612576741605187	1.6071859543522586e-5	7.862848207446434e-4	3.07	Decreased	Actn 15mg vs NaCl	Neu1
Q9QWR8	-1.93	19.93	-5.443474558818711	2.360107512450725e-5	0.0010315308384447979	2.74	Decreased	Actn 15mg vs NaCl	Naga
Q3UMW8	-1.98	18.55	-5.43016817412958	2.4328557510490516e-5	0.0010315308384447979	2.66	Decreased	Actn 15mg vs NaCl	Cln5
O35448	-1.92	20.46	-5.173213796529045	4.387011023217526e-5	0.0017438368817289667	2.09	Decreased	Actn 15mg vs NaCl	Ppt2
P61110	3.91	17.99	5.128607915079686	4.862768087303499e-5	0.001819247355014721	1.99	Increased	Actn 15mg vs NaCl	Kap
Q9D7Z6	-1.92	17.07	-4.897046360193591	8.32020923484056e-5	0.0027839246743127832	1.59	Decreased	Actn 15mg vs NaCl	Clca1
Q7TMR0	-1.83	20.46	-4.871481984348441	8.830627396210279e-5	0.0027839246743127832	1.4	Decreased	Actn 15mg vs NaCl	Prcp
P16406	-1.32	20.97	-4.858633134467136	9.099027777111085e-5	0.0027839246743127832	1.37	Decreased	Actn 15mg vs NaCl	Enpep
Q80X71	-2.28	18.18	-4.854262156107412	9.192204113296926e-5	0.0027839246743127832	1.36	Decreased	Actn 15mg vs NaCl	Tmem106b
Q02819	2.22	19.24	4.778261805893367	1.097590116872807e-4	0.0031730332469595696	1.19	Increased	Actn 15mg vs NaCl	Nucb1
P17439	-1.57	18	-4.50937248086715	2.0609788626148044e-4	0.005461593985929231	0.66	Decreased	Actn 15mg vs NaCl	Gba1
P19783	1.48	17.04	4.520287929038304	2.0087997143265976e-4	0.005461593985929231	0.63	Increased	Actn 15mg vs NaCl	Cox4i1
P17047	-1.87	19.21	-4.4811304675360235	2.2024080046481525e-4	0.0056029259638249	0.52	Decreased	Actn 15mg vs NaCl	Lamp2
Q8JZQ5	3.44	20.65	4.4055272586863	2.630990015834945e-4	0.006435806346427019	0.42	Increased	Actn 15mg vs NaCl	Aoc1
O35298	-2.23	19.59	-4.342707006005412	3.050281941959706e-4	0.007185108574393975	0.19	Decreased	Actn 15mg vs NaCl	Aoah
P70663	4	17.06	4.320567399912075	3.2135354868031296e-4	0.007206347544757735	0.14	Increased	Actn 15mg vs NaCl	Sparcl1
P20108	-2.19	16.79	-4.31111084808219	3.285913188647395e-4	0.007206347544757735	0.13	Decreased	Actn 15mg vs NaCl	Prdx3
Q8CCH2	-1.65	18.26	-4.233827602685853	3.942151003470375e-4	0.008357360127357194	-0.06	Decreased	Actn 15mg vs NaCl	Nhlrc3
Q571E4	-3.04	20.52	-4.149068898161403	4.8138483165737395e-4	0.009277598573760298	-0.13	Decreased	Actn 15mg vs NaCl	Galns
Q9ET22	-2.13	23.06	-4.159103198889661	4.701326274989687e-4	0.009277598573760298	-0.18	Decreased	Actn 15mg vs NaCl	Dpp7
Q9D687	-1.47	18.57	-4.153882491414077	4.75953761445997e-4	0.009277598573760298	-0.2	Decreased	Actn 15mg vs NaCl	Slc6a19
